Job Title,code,type,2016 Employment,2026 Employment,2016 %,2026 %,Change (#),Change (%),Openings,Level,ed_needed,Median Wage,Experience,OTJ Training
Radiologic technologists,29-2034,Individual Jobs,205.2,230.5,0.1,0.1,25.3,12.3,13.6,4.0,Associate's degree,57450.0,None,None
Magnetic resonance imaging technologists,29-2035,Individual Jobs,36.6,41.5,0.0,0.0,5.0,13.7,2.5,4.0,Associate's degree,68420.0,Less than 5 years,None
Emergency medical technicians and paramedics,29-2041,Individual Jobs,248.0,285.4,0.2,0.2,37.4,15.1,19.4,3.0,Postsecondary nondegree award,32670.0,None,None
Health practitioner support technologists and technicians,29-2050,Job Categories,767.0,857.2,0.5,0.5,90.2,11.8,71.4,3.0,—,33140.0,—,—
Dietetic technicians,29-2051,Individual Jobs,33.4,36.5,0.0,0.0,3.1,9.3,3.0,4.0,Associate's degree,26350.0,None,None
Pharmacy technicians,29-2052,Individual Jobs,402.5,450.1,0.3,0.3,47.6,11.8,37.5,4.0,High school diploma or equivalent,30920.0,None,Moderate-term on-the-job training
Psychiatric technicians,29-2053,Individual Jobs,66.1,70.0,0.0,0.0,3.9,5.9,5.6,4.0,Postsecondary nondegree award,30970.0,Less than 5 years,Short-term on-the-job training
Respiratory therapy technicians,29-2054,Individual Jobs,10.8,4.7,0.0,0.0,-6.1,-56.3,0.0,4.0,Associate's degree,49780.0,None,None
Surgical technologists,29-2055,Individual Jobs,107.7,120.3,0.1,0.1,12.6,11.7,10.0,4.0,Postsecondary nondegree award,45160.0,None,None
Veterinary technologists and technicians,29-2056,Individual Jobs,102.0,122.4,0.1,0.1,20.4,20.0,10.7,4.0,Associate's degree,32490.0,None,None
Ophthalmic medical technicians,29-2057,Individual Jobs,44.5,53.2,0.0,0.0,8.7,19.5,4.6,4.0,Postsecondary nondegree award,35530.0,None,None
Licensed practical and licensed vocational nurses,29-2061,Individual Jobs,724.5,813.4,0.5,0.5,88.9,12.3,62.7,3.0,Postsecondary nondegree award,44090.0,None,None
Medical records and health information technicians,29-2071,Individual Jobs,206.3,234.1,0.1,0.1,27.8,13.5,15.8,3.0,Postsecondary nondegree award,38040.0,None,None
"Opticians, dispensing",29-2081,Individual Jobs,77.6,89.3,0.0,0.1,11.6,15.0,7.0,3.0,High school diploma or equivalent,35530.0,None,Long-term on-the-job training
Miscellaneous health technologists and technicians,29-2090,Job Categories,142.4,170.6,0.1,0.1,28.2,19.8,12.3,3.0,—,42500.0,—,—
